COUNTRY;ISO3;WHO_REGION;DATA_SOURCE;DATE_UPDATED;TOTAL_VACCINATIONS;PERSONS_VACCINATED_1PLUS_DOSE;TOTAL_VACCINATIONS_PER100;PERSONS_VACCINATED_1PLUS_DOSE_PER100;PERSONS_LAST_DOSE;PERSONS_LAST_DOSE_PER100;VACCINES_USED;FIRST_VACCINE_DATE;NUMBER_VACCINES_TYPES_USED;PERSONS_BOOSTER_ADD_DOSE;PERSONS_BOOSTER_ADD_DOSE_PER100;
Aruba;ABW;AMRO;REPORTING;29/12/2023;217124;90493;203;85;84363;79;;17/02/2021;;35659;33;
Afghanistan;AFG;EMRO;REPORTING;31/12/2023;2.30E+07;1.92E+07;59;49;1.84E+07;47;;22/02/2021;;2729940;7;
Angola;AGO;AFRO;REPORTING;31/12/2023;2.78E+07;1.66E+07;85;50;9609080;29;;10/03/2021;;3067091;9;
Anguilla;AIA;AMRO;REPORTING;29/12/2023;24864;10858;166;72;10382;69;;05/02/2021;;3231;22;
Albania;ALB;EURO;REPORTING;23/12/2023;3088966;1349255;107;47;1279333;44;;13/01/2021;;402371;14;
Andorra;AND;EURO;REPORTING;23/12/2023;157072;57913;203;75;53501;69;;20/01/2021;;43071;56;
Argentina;ARG;AMRO;REPORTING;29/12/2023;1.17E+08;4.12E+07;258;91;3.81E+07;84;;29/12/2020;;2.77E+07;61;
Armenia;ARM;EURO;REPORTING;23/12/2023;2256919;1150915;76;39;1030758;35;;27/01/2021;;81354;3;
Antigua and Barbuda;ATG;AMRO;REPORTING;29/12/2023;136512;64290;139;66;62384;64;;01/03/2021;;9838;10;
Australia;AUS;WPRO;REPORTING;31/12/2023;6.97E+07;2.24E+07;273;88;2.18E+07;85;;21/02/2021;;1.44E+07;56;
Austria;AUT;EURO;REPORTING;23/12/2023;2.04E+07;6909588;229;78;6682372;75;;30/12/2020;;5405966;61;
Azerbaijan;AZE;EURO;REPORTING;23/12/2023;1.38E+07;5436662;136;54;4888112;48;;20/01/2021;;3504588;35;
Burundi;BDI;AFRO;REPORTING;31/12/2023;42252;36909;;;36321;;;18/10/2021;;314;;
Belgium;BEL;EURO;REPORTING;23/12/2023;2.91E+07;9248897;253;80;9152736;79;;30/12/2020;;7246551;63;
Benin;BEN;AFRO;REPORTING;31/12/2023;4232541;3697190;35;30;2742837;23;;29/03/2021;;;;
Burkina Faso;BFA;AFRO;REPORTING;31/12/2023;7893609;6089089;38;29;5232347;25;;02/06/2021;;4056;;
Bulgaria;BGR;EURO;REPORTING;23/12/2023;4723016;2155863;68;31;2080472;30;;30/12/2020;;864723;12;
Bahamas;BHS;AMRO;REPORTING;29/12/2023;366359;174810;93;44;166972;42;;14/03/2021;;33717;9;
Bosnia and Herzegovina;BIH;EURO;REPORTING;23/12/2023;1190949;546013;36;17;461202;14;;;;182203;6;
Belarus;BLR;EURO;REPORTING;23/12/2023;2.28E+07;6451746;241;68;6366658;67;;03/02/2021;;5724423;61;
Belize;BLZ;AMRO;REPORTING;29/12/2023;511106;236221;129;59;221478;56;;01/03/2021;;53189;13;
Bermuda;BMU;AMRO;REPORTING;29/12/2023;136759;48554;220;78;47657;77;;11/01/2021;;32016;51;
Bolivia (Plurinational State of);BOL;AMRO;REPORTING;29/12/2023;1.61E+07;7505389;138;64;6307628;54;;30/01/2021;;2521192;22;
Brazil;BRA;AMRO;REPORTING;29/12/2023;5.16E+08;1.85E+08;243;87;1.73E+08;81;;17/01/2021;;1.11E+08;52;
Barbados;BRB;AMRO;REPORTING;29/12/2023;384049;163853;134;57;155047;54;;08/01/2021;;62848;22;
Botswana;BWA;AFRO;REPORTING;31/12/2023;3171667;1951054;135;83;1663490;71;;26/03/2021;;510809;22;
Central African Republic;CAF;AFRO;REPORTING;31/12/2023;3342248;2600389;69;54;2484985;51;;19/03/2021;;366221;8;
Canada;CAN;AMRO;REPORTING;29/12/2023;9.90E+07;3.26E+07;262;87;3.13E+07;83;;14/12/2020;;1.99E+07;53;
Switzerland;CHE;EURO;REPORTING;23/12/2023;1.68E+07;6096600;194;70;5723066;66;;23/12/2020;;4996650;58;
Chile;CHL;AMRO;REPORTING;29/12/2023;6.69E+07;1.75E+07;350;92;1.77E+07;93;;21/12/2020;;1.58E+07;83;
C�te d'Ivoire;CIV;AFRO;REPORTING;31/12/2023;2.53E+07;1.36E+07;96;51;1.22E+07;46;;01/03/2021;;3138712;12;
Cameroon;CMR;AFRO;REPORTING;31/12/2023;4880572;3753733;18;14;3197286;12;;12/04/2021;;803560;3;
Democratic Republic of the Congo;COD;AFRO;REPORTING;31/12/2023;1.88E+07;1.70E+07;21;19;1.44E+07;16;;19/04/2021;;;;
Congo;COG;AFRO;REPORTING;31/12/2023;833210;695760;15;13;654119;12;;23/03/2021;;;;
Colombia;COL;AMRO;REPORTING;29/12/2023;9.09E+07;4.30E+07;179;85;3.72E+07;73;;17/02/2021;;1.49E+07;29;
Comoros;COM;AFRO;REPORTING;31/12/2023;835021;438825;96;50;397080;46;;10/04/2021;;;;
Cabo Verde;CPV;AFRO;REPORTING;31/12/2023;859940;356734;155;64;308720;56;;18/03/2021;;749;;
Costa Rica;CRI;AMRO;REPORTING;29/12/2023;1.36E+07;4650636;267;91;4369784;86;;24/12/2020;;2986527;59;
Cuba;CUB;AMRO;REPORTING;29/12/2023;4.59E+07;1.08E+07;405;95;1.00E+07;89;;;;8783298;78;
Cura�ao;CUW;AMRO;REPORTING;29/12/2023;260324;108601;159;66;100885;61;;;;47473;29;
Cayman Islands;CYM;AMRO;REPORTING;29/12/2023;152148;62113;232;95;60696;92;;15/01/2021;;24064;37;
Cyprus;CYP;EURO;REPORTING;23/12/2023;1891597;669294;213;75;656138;74;;23/12/2020;;520026;59;
Czechia;CZE;EURO;REPORTING;23/12/2023;1.86E+07;6972222;174;65;6887973;64;;23/12/2020;;4365928;41;
Germany;DEU;EURO;REPORTING;23/12/2023;1.93E+08;6.49E+07;232;78;6.36E+07;76;;23/12/2020;;5.21E+07;63;
Djibouti;DJI;EMRO;REPORTING;31/12/2023;723789;372077;73;38;351712;36;;15/03/2021;;;;
Dominica;DMA;AMRO;REPORTING;29/12/2023;67647;32995;94;46;30659;43;;12/02/2021;;3993;6;
Denmark;DNK;EURO;REPORTING;23/12/2023;1.49E+07;4737987;256;81;4781285;82;;16/12/2020;;3674678;63;
Dominican Republic;DOM;AMRO;REPORTING;29/12/2023;1.64E+07;7360900;151;68;6130483;57;;16/02/2021;;2575142;24;
Algeria;DZA;AFRO;REPORTING;31/12/2023;1.53E+07;7840131;35;18;6481186;15;;30/01/2021;;575651;1;
Ecuador;ECU;AMRO;REPORTING;29/12/2023;3.96E+07;1.53E+07;224;87;1.42E+07;81;;20/01/2021;;7732930;44;
Egypt;EGY;EMRO;REPORTING;31/12/2023;1.02E+08;5.69E+07;100;56;4.23E+07;41;;24/01/2021;;1.52E+07;15;
Spain;ESP;EURO;REPORTING;23/12/2023;1.19E+08;4.13E+07;252;87;3.75E+07;79;;30/12/2020;;3.29E+07;70;
Estonia;EST;EURO;REPORTING;23/12/2023;2205229;845148;166;64;842177;63;;23/12/2020;;487389;37;
Ethiopia;ETH;AFRO;REPORTING;31/12/2023;6.89E+07;5.25E+07;60;46;4.37E+07;38;;13/03/2021;;5978070;5;
Finland;FIN;EURO;REPORTING;23/12/2023;1.42E+07;4547671;257;82;4365135;79;;23/12/2020;;4016189;73;
France;FRA;EURO;REPORTING;23/12/2023;1.58E+08;5.47E+07;243;84;5.32E+07;82;;23/12/2020;;4.10E+07;63;
Gabon;GAB;AFRO;REPORTING;31/12/2023;572672;311244;26;14;257471;12;;23/03/2021;;2592;;
United Kingdom of Great Britain and Northern Ireland;GBR;EURO;REPORTING;23/12/2023;1.51E+08;5.38E+07;223;79;5.08E+07;75;;21/12/2020;;;;
Georgia;GEO;EURO;REPORTING;23/12/2023;2739270;1300867;69;33;1187212;30;;17/03/2021;;251191;6;
Ghana;GHA;AFRO;REPORTING;31/12/2023;2.56E+07;1.39E+07;82;45;1.08E+07;35;;02/03/2021;;4806017;15;
Guinea;GIN;AFRO;REPORTING;31/12/2023;1.20E+07;8715641;92;66;5853990;45;;05/03/2021;;425378;3;
Guadeloupe;GLP;;REPORTING;29/12/2023;400424;152189;100;38;146147;37;;;;89052;22;
Gambia;GMB;AFRO;REPORTING;31/12/2023;1444492;674314;60;28;539186;22;;10/03/2021;;53741;2;
Guinea-Bissau;GNB;AFRO;REPORTING;31/12/2023;920752;747057;47;38;547637;28;;02/04/2021;;76359;4;
Equatorial Guinea;GNQ;AFRO;REPORTING;31/12/2023;488738;270109;35;19;214032;15;;12/02/2021;;4597;;
Greece;GRC;EURO;REPORTING;23/12/2023;2.22E+07;7917288;207;74;7745574;72;;23/12/2020;;6071723;57;
Grenada;GRD;AMRO;REPORTING;29/12/2023;90686;44241;81;39;39034;35;;15/02/2021;;7411;7;
Guatemala;GTM;AMRO;REPORTING;29/12/2023;2.04E+07;8937923;114;50;7130895;40;;25/02/2021;;3723845;21;
French Guiana;GUF;;REPORTING;29/12/2023;242386;100359;81;34;90493;30;;;;46361;16;
Guyana;GUY;AMRO;REPORTING;29/12/2023;967861;497550;123;63;384507;49;;11/02/2021;;80224;10;
Honduras;HND;AMRO;REPORTING;29/12/2023;1.71E+07;6596213;172;67;5853689;59;;22/02/2021;;4803544;48;
Croatia;HRV;EURO;REPORTING;23/12/2023;5435966;2321669;134;57;2246622;55;;23/12/2020;;996098;25;
Haiti;HTI;AMRO;REPORTING;29/12/2023;680104;521396;6;5;366339;3;;;;;;
Hungary;HUN;EURO;REPORTING;23/12/2023;1.66E+07;6358657;170;65;6152022;63;;23/12/2020;;3876420;40;
Ireland;IRL;EURO;REPORTING;23/12/2023;1.31E+07;4245977;264;86;4063819;82;;30/12/2020;;3787948;76;
Iceland;ISL;EURO;REPORTING;23/12/2023;903424;307412;248;84;297934;82;;30/12/2020;;287652;79;
Israel;ISR;EURO;REPORTING;23/12/2023;1.89E+07;7055466;218;82;6385731;74;;16/12/2020;;4474108;52;
Italy;ITA;EURO;REPORTING;23/12/2023;1.50E+08;5.06E+07;252;85;4.95E+07;83;;23/12/2020;;4.49E+07;75;
Jamaica;JAM;AMRO;REPORTING;29/12/2023;1529113;722248;52;24;760800;26;;10/03/2021;;46065;2;
Japan;JPN;WPRO;REPORTING;31/12/2023;4.33E+08;1.05E+08;343;83;1.03E+08;82;;17/02/2021;;8.67E+07;69;
Kazakhstan;KAZ;EURO;REPORTING;23/12/2023;3.84E+07;1.24E+07;204;66;1.31E+07;70;;07/04/2021;;6801526;36;
Kenya;KEN;AFRO;REPORTING;31/12/2023;2.38E+07;1.45E+07;44;27;1.11E+07;21;;05/03/2021;;2000636;4;
Kyrgyzstan;KGZ;EURO;REPORTING;23/12/2023;3167393;1528725;49;23;1337850;21;;31/03/2021;;300818;5;
Cambodia;KHM;WPRO;REPORTING;31/12/2023;4.78E+07;1.53E+07;286;92;1.47E+07;88;;10/02/2021;;1.08E+07;64;
Saint Kitts and Nevis;KNA;AMRO;REPORTING;29/12/2023;64297;33794;121;64;27000;51;;22/02/2021;;3465;7;
Kuwait;KWT;EMRO;REPORTING;03/12/2023;8261221;3457498;193;81;3346176;78;;28/12/2020;;1457547;34;
Liberia;LBR;AFRO;REPORTING;31/12/2023;4460668;3903802;88;77;3730967;74;;01/04/2021;;1987;;
Libya;LBY;EMRO;REPORTING;31/12/2023;3653384;2316327;53;34;1236102;18;;11/04/2021;;186729;3;
Saint Lucia;LCA;AMRO;REPORTING;29/12/2023;122977;60140;67;33;54971;30;;17/02/2021;;7866;4;
Lesotho;LSO;AFRO;REPORTING;31/12/2023;1339097;1014073;63;47;938088;44;;10/03/2021;;177816;8;
Lithuania;LTU;EURO;REPORTING;23/12/2023;4532649;1960786;162;70;1907061;68;;23/12/2020;;902103;32;
